well,rc,row,col,compound,dose,dose_unit,control_type,plate_rep
A01,r01c01,A,1,GEM,100,uM,drug,1
A02,r01c02,A,2,GEM,50,uM,drug,1
A03,r01c03,A,3,GEM,25,uM,drug,1
A04,r01c04,A,4,GEM,12.5,uM,drug,1
A05,r01c05,A,5,GEM,6.25,uM,drug,1
A06,r01c06,A,6,GEM,3.125,uM,drug,1
A07,r01c07,A,7,GEM,1.5625,uM,drug,1
A08,r01c08,A,8,GEM,0.78125,uM,drug,1
A09,r01c09,A,9,GEM,0.390625,uM,drug,1
A10,r01c10,A,10,GEM,0.1953125,uM,drug,1
A11,r01c11,A,11,GEM,0.09765625,uM,drug,1
A12,r01c12,A,12,GEM,0.048828125,uM,drug,1
A13,r01c13,A,13,VP-16,50,uM,drug,1
A14,r01c14,A,14,VP-16,25,uM,drug,1
A15,r01c15,A,15,VP-16,12.5,uM,drug,1
A16,r01c16,A,16,VP-16,6.25,uM,drug,1
A17,r01c17,A,17,VP-16,3.125,uM,drug,1
A18,r01c18,A,18,VP-16,1.5625,uM,drug,1
A19,r01c19,A,19,VP-16,0.78125,uM,drug,1
A20,r01c20,A,20,VP-16,0.390625,uM,drug,1
A21,r01c21,A,21,VP-16,0.1953125,uM,drug,1
A22,r01c22,A,22,VP-16,0.09765625,uM,drug,1
A23,r01c23,A,23,VP-16,0.048828125,uM,drug,1
A24,r01c24,A,24,VP-16,0.024414063,uM,drug,1
B01,r02c01,B,1,GEM,100,uM,drug,2
B02,r02c02,B,2,GEM,50,uM,drug,2
B03,r02c03,B,3,GEM,25,uM,drug,2
B04,r02c04,B,4,GEM,12.5,uM,drug,2
B05,r02c05,B,5,GEM,6.25,uM,drug,2
B06,r02c06,B,6,GEM,3.125,uM,drug,2
B07,r02c07,B,7,GEM,1.5625,uM,drug,2
B08,r02c08,B,8,GEM,0.78125,uM,drug,2
B09,r02c09,B,9,GEM,0.390625,uM,drug,2
B10,r02c10,B,10,GEM,0.1953125,uM,drug,2
B11,r02c11,B,11,GEM,0.09765625,uM,drug,2
B12,r02c12,B,12,GEM,0.048828125,uM,drug,2
B13,r02c13,B,13,VP-16,50,uM,drug,2
B14,r02c14,B,14,VP-16,25,uM,drug,2
B15,r02c15,B,15,VP-16,12.5,uM,drug,2
B16,r02c16,B,16,VP-16,6.25,uM,drug,2
B17,r02c17,B,17,VP-16,3.125,uM,drug,2
B18,r02c18,B,18,VP-16,1.5625,uM,drug,2
B19,r02c19,B,19,VP-16,0.78125,uM,drug,2
B20,r02c20,B,20,VP-16,0.390625,uM,drug,2
B21,r02c21,B,21,VP-16,0.1953125,uM,drug,2
B22,r02c22,B,22,VP-16,0.09765625,uM,drug,2
B23,r02c23,B,23,VP-16,0.048828125,uM,drug,2
B24,r02c24,B,24,VP-16,0.024414063,uM,drug,2
C01,r03c01,C,1,GEM,100,uM,drug,3
C02,r03c02,C,2,GEM,50,uM,drug,3
C03,r03c03,C,3,GEM,25,uM,drug,3
C04,r03c04,C,4,GEM,12.5,uM,drug,3
C05,r03c05,C,5,GEM,6.25,uM,drug,3
C06,r03c06,C,6,GEM,3.125,uM,drug,3
C07,r03c07,C,7,GEM,1.5625,uM,drug,3
C08,r03c08,C,8,GEM,0.78125,uM,drug,3
C09,r03c09,C,9,GEM,0.390625,uM,drug,3
C10,r03c10,C,10,GEM,0.1953125,uM,drug,3
C11,r03c11,C,11,GEM,0.09765625,uM,drug,3
C12,r03c12,C,12,GEM,0.048828125,uM,drug,3
C13,r03c13,C,13,VP-16,50,uM,drug,3
C14,r03c14,C,14,VP-16,25,uM,drug,3
C15,r03c15,C,15,VP-16,12.5,uM,drug,3
C16,r03c16,C,16,VP-16,6.25,uM,drug,3
C17,r03c17,C,17,VP-16,3.125,uM,drug,3
C18,r03c18,C,18,VP-16,1.5625,uM,drug,3
C19,r03c19,C,19,VP-16,0.78125,uM,drug,3
C20,r03c20,C,20,VP-16,0.390625,uM,drug,3
C21,r03c21,C,21,VP-16,0.1953125,uM,drug,3
C22,r03c22,C,22,VP-16,0.09765625,uM,drug,3
C23,r03c23,C,23,VP-16,0.048828125,uM,drug,3
C24,r03c24,C,24,VP-16,0.024414063,uM,drug,3
D01,r04c01,D,1,5-FU,200,uM,drug,1
D02,r04c02,D,2,5-FU,100,uM,drug,1
D03,r04c03,D,3,5-FU,50,uM,drug,1
D04,r04c04,D,4,5-FU,25,uM,drug,1
D05,r04c05,D,5,5-FU,12.5,uM,drug,1
D06,r04c06,D,6,5-FU,6.25,uM,drug,1
D07,r04c07,D,7,5-FU,3.125,uM,drug,1
D08,r04c08,D,8,5-FU,1.5625,uM,drug,1
D09,r04c09,D,9,5-FU,0.78125,uM,drug,1
D10,r04c10,D,10,5-FU,0.390625,uM,drug,1
D11,r04c11,D,11,5-FU,0.1953125,uM,drug,1
D12,r04c12,D,12,5-FU,0.09765625,uM,drug,1
D13,r04c13,D,13,CPT,10,uM,drug,1
D14,r04c14,D,14,CPT,5,uM,drug,1
D15,r04c15,D,15,CPT,2.5,uM,drug,1
D16,r04c16,D,16,CPT,1.25,uM,drug,1
D17,r04c17,D,17,CPT,0.625,uM,drug,1
D18,r04c18,D,18,CPT,0.3125,uM,drug,1
D19,r04c19,D,19,CPT,0.15625,uM,drug,1
D20,r04c20,D,20,CPT,0.078125,uM,drug,1
D21,r04c21,D,21,CPT,0.0390625,uM,drug,1
D22,r04c22,D,22,CPT,0.01953125,uM,drug,1
D23,r04c23,D,23,CPT,0.009765625,uM,drug,1
D24,r04c24,D,24,CPT,0.004882813,uM,drug,1
E01,r05c01,E,1,5-FU,200,uM,drug,2
E02,r05c02,E,2,5-FU,100,uM,drug,2
E03,r05c03,E,3,5-FU,50,uM,drug,2
E04,r05c04,E,4,5-FU,25,uM,drug,2
E05,r05c05,E,5,5-FU,12.5,uM,drug,2
E06,r05c06,E,6,5-FU,6.25,uM,drug,2
E07,r05c07,E,7,5-FU,3.125,uM,drug,2
E08,r05c08,E,8,5-FU,1.5625,uM,drug,2
E09,r05c09,E,9,5-FU,0.78125,uM,drug,2
E10,r05c10,E,10,5-FU,0.390625,uM,drug,2
E11,r05c11,E,11,5-FU,0.1953125,uM,drug,2
E12,r05c12,E,12,5-FU,0.09765625,uM,drug,2
E13,r05c13,E,13,CPT,10,uM,drug,2
E14,r05c14,E,14,CPT,5,uM,drug,2
E15,r05c15,E,15,CPT,2.5,uM,drug,2
E16,r05c16,E,16,CPT,1.25,uM,drug,2
E17,r05c17,E,17,CPT,0.625,uM,drug,2
E18,r05c18,E,18,CPT,0.3125,uM,drug,2
E19,r05c19,E,19,CPT,0.15625,uM,drug,2
E20,r05c20,E,20,CPT,0.078125,uM,drug,2
E21,r05c21,E,21,CPT,0.0390625,uM,drug,2
E22,r05c22,E,22,CPT,0.01953125,uM,drug,2
E23,r05c23,E,23,CPT,0.009765625,uM,drug,2
E24,r05c24,E,24,CPT,0.004882813,uM,drug,2
F01,r06c01,F,1,5-FU,200,uM,drug,3
F02,r06c02,F,2,5-FU,100,uM,drug,3
F03,r06c03,F,3,5-FU,50,uM,drug,3
F04,r06c04,F,4,5-FU,25,uM,drug,3
F05,r06c05,F,5,5-FU,12.5,uM,drug,3
F06,r06c06,F,6,5-FU,6.25,uM,drug,3
F07,r06c07,F,7,5-FU,3.125,uM,drug,3
F08,r06c08,F,8,5-FU,1.5625,uM,drug,3
F09,r06c09,F,9,5-FU,0.78125,uM,drug,3
F10,r06c10,F,10,5-FU,0.390625,uM,drug,3
F11,r06c11,F,11,5-FU,0.1953125,uM,drug,3
F12,r06c12,F,12,5-FU,0.09765625,uM,drug,3
F13,r06c13,F,13,CPT,10,uM,drug,3
F14,r06c14,F,14,CPT,5,uM,drug,3
F15,r06c15,F,15,CPT,2.5,uM,drug,3
F16,r06c16,F,16,CPT,1.25,uM,drug,3
F17,r06c17,F,17,CPT,0.625,uM,drug,3
F18,r06c18,F,18,CPT,0.3125,uM,drug,3
F19,r06c19,F,19,CPT,0.15625,uM,drug,3
F20,r06c20,F,20,CPT,0.078125,uM,drug,3
F21,r06c21,F,21,CPT,0.0390625,uM,drug,3
F22,r06c22,F,22,CPT,0.01953125,uM,drug,3
F23,r06c23,F,23,CPT,0.009765625,uM,drug,3
F24,r06c24,F,24,CPT,0.004882813,uM,drug,3
G01,r07c01,G,1,DOX,250,uM,drug,1
G02,r07c02,G,2,DOX,125,uM,drug,1
G03,r07c03,G,3,DOX,62.5,uM,drug,1
G04,r07c04,G,4,DOX,31.25,uM,drug,1
G05,r07c05,G,5,DOX,15.625,uM,drug,1
G06,r07c06,G,6,DOX,7.8125,uM,drug,1
G07,r07c07,G,7,DOX,3.90625,uM,drug,1
G08,r07c08,G,8,DOX,1.953125,uM,drug,1
G09,r07c09,G,9,DOX,0.9765625,uM,drug,1
G10,r07c10,G,10,DOX,0.48828125,uM,drug,1
G11,r07c11,G,11,DOX,0.244140625,uM,drug,1
G12,r07c12,G,12,DOX,0.122070313,uM,drug,1
G13,r07c13,G,13,DTX,1,uM,drug,1
G14,r07c14,G,14,DTX,0.5,uM,drug,1
G15,r07c15,G,15,DTX,0.25,uM,drug,1
G16,r07c16,G,16,DTX,0.125,uM,drug,1
G17,r07c17,G,17,DTX,0.0625,uM,drug,1
G18,r07c18,G,18,DTX,0.03125,uM,drug,1
G19,r07c19,G,19,DTX,0.015625,uM,drug,1
G20,r07c20,G,20,DTX,0.0078125,uM,drug,1
G21,r07c21,G,21,DTX,0.00390625,uM,drug,1
G22,r07c22,G,22,DTX,0.001953125,uM,drug,1
G23,r07c23,G,23,DTX,0.000976563,uM,drug,1
G24,r07c24,G,24,DTX,0.000488281,uM,drug,1
H01,r08c01,H,1,DOX,250,uM,drug,2
H02,r08c02,H,2,DOX,125,uM,drug,2
H03,r08c03,H,3,DOX,62.5,uM,drug,2
H04,r08c04,H,4,DOX,31.25,uM,drug,2
